Country,Continent,2020 population,2022 population,2023 population,2025 population,GDP_Growth_2025,GDP_2023,GDP_2025,GDP_Capita
United States,North America,335942003,338289857,339996563,343405029,2.32%,27811500000000,32400000000000,94430
China,Asia,1424929781,1425887337,1425671352,1425101140,4.41%,18366936000000,20900000000000,14874
Germany,Europe,83328988,83369843,83294633,83144770,0.79%,4563523000000,5450000000000,65303
Japan,Asia,125244761,123951692,123294513,121991055,0.72%,4384854000000,4380000000000,35703
United Kingdom,Europe,67059474,67508936,67736802,68198195,0.80%,3422072000000,4260000000000,61056
France,Europe,64480053,64626628,64756584,65015869,0.86%,3061095000000,3600000000000,52083
Italy,Europe,59500579,59037474,58870762,58541547,0.52%,2317550000000,2740000000000,46505
Russia,Europe,145617329,144713314,144444359,143895992,1.09%,2034681000000,2660000000000,18525
Canada,North America,37888705,38454327,38781291,39443375,1.50%,2196594000000,2510000000000,60305
Mexico,North America,125998302,127504125,128455567,130389626,1.64%,1794410000000,2120000000000,15779
Spain,Europe,47363807,47558630,47519628,47443627,2.09%,1619949000000,2090000000000,41563
South Korea,Asia,51844690,51815810,51784059,51721937,1.86%,1844801000000,1930000000000,37412
Turkey,Asia,84135428,85341241,85816199,86780032,3.37%,1153295000000,1640000000000,19018
Indonesia,Asia,271857970,275501339,277534122,281656825,4.95%,1371167000000,1540000000000,5362
Netherlands,Europe,17434557,17564014,17618299,17727702,1.23%,1135803000000,1450000000000,79918
Saudi Arabia,Asia,35997107,36408820,36947025,38048750,3.12%,1218585000000,1390000000000,37811
Switzerland,Europe,8638613,8740472,8796669,8909627,1.34%,928689000000,1150000000000,126177
Poland,Europe,38428366,39857145,41026067,43465415,3.32%,812959000000,1130000000000,31336
Taiwan,Asia,23821464,23893394,23923276,23985517,5.18%,757387000000,977000000000,42103
Ireland,Europe,4946119,5023109,5056935,5124925,2.52%,567537000000,779000000000,140186
Belgium,Europe,11561717,11655930,11686140,11746987,0.66%,651518000000,777000000000,65112
Sweden,Europe,10368969,10549347,10612086,10737678,1.96%,578991000000,760000000000,70676
Israel,Asia,8757489,9038309,9174520,9453682,3.53%,513394000000,720000000000,69804
Singapore,Asia,5909869,5975689,6014723,6093169,3.51%,511182000000,660000000000,107758
Austria,Europe,8907777,8939617,8958960,8998423,0.68%,516820000000,624000000000,67761
